"call_date","wkday","wday","mkt_direct","db_ivr","dandb.com","organic","paid_etc","iupdate","holiday"
2015-08-08,"Saturday",7,73.09,1.67,22.03,17.63,62.1,10.01,"no holiday"
2015-08-09,"Sunday",1,43.23,0.86,11.22,13.13,39.15,5.54,"no holiday"
2015-08-10,"Monday",2,863.39,109.22,269.75,63.49,291.81,143.3,"no holiday"
2015-08-11,"Tuesday",3,838.66,107.21,244.64,59.2,304.67,129.71,"no holiday"
2015-08-12,"Wednesday",4,702.44,114.25,230.7,56.65,271.6,139.24,"no holiday"
2015-08-13,"Thursday",5,591.76,103.83,223.65,48.62,251.65,124.8,"no holiday"
2015-08-14,"Friday",6,508.48,83.78,176.71,42.69,216.16,103.96,"no holiday"
2015-08-15,"Saturday",7,73.12,1.67,22.04,17.63,62.12,10.02,"no holiday"
2015-08-16,"Sunday",1,43.25,0.86,11.23,13.13,39.16,5.54,"no holiday"
2015-08-17,"Monday",2,839.19,106.16,262.19,61.71,283.63,139.28,"no holiday"
2015-08-18,"Tuesday",3,820.79,104.93,239.42,57.94,298.18,126.94,"no holiday"
2015-08-19,"Wednesday",4,684.89,111.4,224.94,55.23,264.81,135.76,"no holiday"
2015-08-20,"Thursday",5,572.72,100.49,216.45,47.05,243.55,120.78,"no holiday"
2015-08-21,"Friday",6,481.29,79.3,167.26,40.41,204.6,98.4,"no holiday"
2015-08-22,"Saturday",7,73.14,1.67,22.05,17.64,62.14,10.02,"no holiday"
2015-08-23,"Sunday",1,43.26,0.86,11.23,13.13,39.17,5.55,"no holiday"
2015-08-24,"Monday",2,823.49,104.17,257.28,60.55,278.33,136.68,"no holiday"
2015-08-25,"Tuesday",3,803.22,102.68,234.3,56.7,291.8,124.22,"no holiday"
2015-08-26,"Wednesday",4,666.95,108.48,219.05,53.79,257.87,132.21,"no holiday"
2015-08-27,"Thursday",5,546.4,95.87,206.5,44.89,232.35,115.23,"no holiday"
2015-08-28,"Friday",6,441.69,72.77,153.5,37.08,187.76,90.3,"no holiday"
2015-08-29,"Saturday",7,73.16,1.67,22.05,17.64,62.16,10.02,"no holiday"
2015-08-30,"Sunday",1,43.28,0.86,11.23,13.14,39.19,5.55,"no holiday"
2015-08-31,"Monday",2,766.52,96.96,239.48,56.36,259.07,127.22,"no holiday"
